language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
HUASTEC	hva	I	1209	1	in	1	also: nana7
TOJOLABAL	toj	I	1209	1	ken	6	also: kena
CHUJ	cnm	I	1209	1	in	1	
JACALTEC	jai	I	1209	1	haninan	1	
QANJOBAL_SANTA_EULALIA	kjb	I	1209	1	ayinti	2	
ACATECO_SAN_MIGUEL_ACATAN	knj	I	1209	1	hain	1	
IXIL_CHAJUL	ixj	I	1209	1	in	1	
AGUACATEC	agu	I	1209	1	in	1	
TECO_TECTITAN	ttc	I	1209	1	a7in	3	
MAM_NORTHERN	mam	I	1209	1	ayine	2	
SIPAKAPENSE	qum	I	1209	1	in	1	
SACAPULTECO_SACAPULAS_CENTRO	quv	I	1209	1	ra7in	3	
CENTRAL_QUICHE	quc	I	1209	1	in	1	
SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA	ckf	I	1209	1	yin	2	
TZUTUJIL_SAN_JUAN_LA_LAGUNA	tzj	I	1209	1	inin	1	
POQOMCHI_WESTERN	pob	I	1209	1	hin	4	
POCOMAM_EASTERN	poa	I	1209	1	hin	4	
USPANTEKO	usp	I	1209	1	in	1	
EASTERN_KEKCHI_CAHABON	kek	I	1209	1	ha7in	3	
TZELTAL_BACHAJON	tzb	I	1209	1	ho7on	5	
CHOL_TUMBALA	ctu	I	1209	1	ho5on	5	
CHORTI	caa	I	1209	1	en	1	
ITZAJ	itz	I	1209	1	ten	1	
MOPAN	mop	I	1209	1	innen	1	
MAYA_YUCATAN	yua	I	1209	1	en	1	
HUASTEC	hva	you	1213	2	it	1	also: ata7
TOJOLABAL	toj	you	1213	2	wen	3	also: wena
CHUJ	cnm	you	1213	2	aC	1	also: eStik
JACALTEC	jai	you	1213	2	haC	1	also: heS
QANJOBAL_SANTA_EULALIA	kjb	you	1213	2	aCti	1	
ACATECO_SAN_MIGUEL_ACATAN	knj	you	1213	2	haCti7	1	
IXIL_CHAJUL	ixj	you	1213	2	ah	4	
AGUACATEC	agu	you	1213	2	aS	5	also: e7u7
TECO_TECTITAN	ttc	you	1213	2	a7iC	6	
MAM_NORTHERN	mam	you	1213	2	aya	7	also: aqye
SIPAKAPENSE	qum	you	1213	2	at	1	
SACAPULTECO_SACAPULAS_CENTRO	quv	you	1213	2	ra7at	2	
CENTRAL_QUICHE	quc	you	1213	2	at	1	
SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA	ckf	you	1213	2	rat	2	
TZUTUJIL_SAN_JUAN_LA_LAGUNA	tzj	you	1213	2	atet	1	
POQOMCHI_WESTERN	pob	you	1213	2	hat	1	
POCOMAM_EASTERN	poa	you	1213	2	hat	1	
USPANTEKO	usp	you	1213	2	at	1	
EASTERN_KEKCHI_CAHABON	kek	you	1213	2	ha7at	1	
ZINACANTAN_TZOTZIL	tzz	you	1213	2	vot	1	also: voSuk
TZELTAL_BACHAJON	tzb	you	1213	2	ha7at	1	
CHOL_TUMBALA	ctu	you	1213	2	hatet	1	
CHONTAL_TABASCO	chf	you	1213	2	ane	8	
CHORTI	caa	you	1213	2	et	9	also: noS
ITZAJ	itz	you	1213	2	teC	10	
MOPAN	mop	you	1213	2	inCeC	11	
MAYA_YUCATAN	yua	you	1213	2	eC	1	also: aw
HUASTEC	hva	we	1212	3	wawa7	6	
TOJOLABAL	toj	we	1212	3	kent~ik	7	
CHUJ	cnm	we	1212	3	oN	1	
JACALTEC	jai	we	1212	3	haNoNaN	8	
QANJOBAL_SANTA_EULALIA	kjb	we	1212	3	aonti	4	also: ayonti
ACATECO_SAN_MIGUEL_ACATAN	knj	we	1212	3	heonti7	4	also: haonti7
IXIL_CHAJUL	ixj	we	1212	3	o7	3	
AGUACATEC	agu	we	1212	3	o7	3	
TECO_TECTITAN	ttc	we	1212	3	a7o7	3	
MAM_NORTHERN	mam	we	1212	3	qo7	3	
SIPAKAPENSE	qum	we	1212	3	ox	1	
SACAPULTECO_SACAPULAS_CENTRO	quv	we	1212	3	ra7ox	2	
CENTRAL_QUICHE	quc	we	1212	3	ux	1	
SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA	ckf	we	1212	3	rox	2	
